family,alias_card_id,canonical_card_id,name,local_id,alias_set_id,alias_set_name,canonical_set_id,canonical_set_name,alias_upstream_status,canonical_upstream_status
shining_fates_sv,swsh4.5-SV001,swsh4.5sv-SV001,Rowlet,SV001,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV002,swsh4.5sv-SV002,Dartrix,SV002,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV003,swsh4.5sv-SV003,Decidueye,SV003,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV004,swsh4.5sv-SV004,Grookey,SV004,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV005,swsh4.5sv-SV005,Thwackey,SV005,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV006,swsh4.5sv-SV006,Rillaboom,SV006,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV007,swsh4.5sv-SV007,Blipbug,SV007,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV008,swsh4.5sv-SV008,Dottler,SV008,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV009,swsh4.5sv-SV009,Orbeetle,SV009,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV010,swsh4.5sv-SV010,Gossifleur,SV010,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV011,swsh4.5sv-SV011,Eldegoss,SV011,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV012,swsh4.5sv-SV012,Applin,SV012,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV013,swsh4.5sv-SV013,Flapple,SV013,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV014,swsh4.5sv-SV014,Appletun,SV014,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV015,swsh4.5sv-SV015,Scorbunny,SV015,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV016,swsh4.5sv-SV016,Raboot,SV016,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV017,swsh4.5sv-SV017,Cinderace,SV017,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV018,swsh4.5sv-SV018,Sizzlipede,SV018,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV019,swsh4.5sv-SV019,Centiskorch,SV019,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV020,swsh4.5sv-SV020,Galarian Mr. Mime,SV020,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV021,swsh4.5sv-SV021,Galarian Mr. Rime,SV021,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV022,swsh4.5sv-SV022,Suicune,SV022,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV023,swsh4.5sv-SV023,Galarian Darumaka,SV023,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV024,swsh4.5sv-SV024,Galarian Darmanitan,SV024,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV025,swsh4.5sv-SV025,Sobble,SV025,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV026,swsh4.5sv-SV026,Drizzile,SV026,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV027,swsh4.5sv-SV027,Inteleon,SV027,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV028,swsh4.5sv-SV028,Chewtle,SV028,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV029,swsh4.5sv-SV029,Drednaw,SV029,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV030,swsh4.5sv-SV030,Cramorant,SV030,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV031,swsh4.5sv-SV031,Arrokuda,SV031,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV032,swsh4.5sv-SV032,Barraskewda,SV032,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV033,swsh4.5sv-SV033,Snom,SV033,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV034,swsh4.5sv-SV034,Frosmoth,SV034,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV035,swsh4.5sv-SV035,Eiscue,SV035,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV036,swsh4.5sv-SV036,Dracovish,SV036,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV037,swsh4.5sv-SV037,Arctovish,SV037,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV038,swsh4.5sv-SV038,Rotom,SV038,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
shining_fates_sv,swsh4.5-SV039,swsh4.5sv-SV039,Yamper,SV039,swsh4.5,Shining Fates,swsh4.5sv,Shining Fates Shiny Vault,404,200
